head_id,pca_90,pca_95,pca_99,evr_pc1,evr_pc2,evr_pc3,pr,twonn,mle,shannon_entropy,eff_rank,layer,block,head,pca_obj,head_dim,separability,silhouette,davies_bouldin,lr_mean,lr_std,ridge_mean,ridge_std,per_class_mean,per_class_std,spec_index,selectivity,top1_class,top1_activation,top2_class,top3_class,cluster
L2_B1_H11,12,15,20,0.1851961,0.14109887,0.11593571,10.342394,6.76923051329408,9.134192655008373,2.6076121,13.566617,2,1,1,PCA(n_components=24),24,1.39062873815673,0.010066664777696133,2.9612644303784723,0.7415,0.022394195676558686,0.6065,0.012308533625091203,0.8455000000000001,0.10255364449886703,0.9956448674201965,0.2833561599254608,22.0,0.9418522119522095,15.0,10.0,3
L2_B1_H12,13,16,21,0.2872519,0.12474737,0.10204261,7.826453,7.609341435174378,10.51765112153248,2.5145025,12.360457,2,1,1,PCA(n_components=24),24,1.2721874618942515,-0.059979792684316635,3.606722497200244,0.645,0.014404860290887923,0.5335000000000001,0.01827566688249709,0.7615000000000001,0.14893035284991438,0.5501380562782288,0.38229307532310486,26.0,0.6681930422782898,20.0,12.0,4
L2_B1_H13,12,16,21,0.24321127,0.13223282,0.124109894,8.496785,8.961864741964673,10.506081240430728,2.513855,12.352456,2,1,1,PCA(n_components=24),24,1.3213029909608682,-0.04465772584080696,3.4597407419970647,0.6285,0.017219175357722556,0.505,0.018165902124584965,0.7269999999999999,0.1359080571562996,0.7606902718544006,0.2955590486526489,40.0,0.5737887024879456,46.0,10.0,8
L2_B1_H14,8,11,17,0.25310826,0.17390509,0.16205601,6.7519917,6.160835059912703,8.038476397571145,2.2133088,9.145929,2,1,1,PCA(n_components=24),24,1.475039171006208,-0.026796819642186165,3.262243599747821,0.7150000000000001,0.01955760721560793,0.592,0.028783675929248517,0.8,0.12737739202856996,1.1179410219192505,0.33879366517066956,46.0,1.212464690208435,38.0,9.0,6
L2_B1_H15,12,15,19,0.21216062,0.15694857,0.10855292,9.293837,7.070180577280917,9.162978320793238,2.5421824,12.707374,2,1,1,PCA(n_components=24),24,1.3877254883305083,-0.009456997737288475,3.0709115582761215,0.6785,0.021189620100417063,0.5385,0.01743559577416271,0.7900000000000001,0.1372953021774598,0.9474257826805115,0.36020901799201965,22.0,0.8938484191894531,28.0,2.0,3
L2_B1_H2,16,19,22,0.1372284,0.1112543,0.09043991,14.4086895,9.442241703291973,12.676083924625777,2.87076,17.650427,2,1,2,PCA(n_components=24),24,1.2063516291511824,-0.05367570370435715,3.6937936436919694,0.5645,0.022660538387249317,0.484,0.01570031846810756,0.689,0.1580474612260507,0.44093331694602966,0.2688882052898407,15.0,0.5098862648010254,22.0,10.0,2
L2_B1_H3,14,17,22,0.1737611,0.11338303,0.10625312,11.8621,8.351443374415737,11.28963259190525,2.7311826,15.351029,2,1,3,PCA(n_components=24),24,1.236980571465861,-0.04950416833162308,3.584329109352061,0.588,0.037662979170532976,0.4955,0.0242590189414164,0.7075,0.16395502432069595,0.5138838887214661,0.41825371980667114,22.0,0.5866761207580566,15.0,27.0,7
L2_B1_H4,12,14,19,0.31947482,0.119007304,0.095074914,6.8694706,8.258007002021165,10.909538890820393,2.4010656,11.034929,2,1,4,PCA(n_components=24),24,1.2170196243001514,-0.074576735496521,3.891435023922741,0.605,0.020796634343085433,0.5285,0.016777961735562542,0.7175,0.1255239021063319,0.46318042278289795,0.32833799719810486,41.0,0.4962864816188812,26.0,20.0,8
L2_B1_H5,14,17,21,0.17095882,0.1374693,0.10511122,11.472695,9.635567491081583,11.840097524934059,2.7137542,15.085804,2,1,5,PCA(n_components=24),24,1.2196582979625232,-0.044671740382909775,3.8629497255470766,0.53,0.03213253802611927,0.4455,0.010885770528538629,0.6655,0.17747464607655936,0.5137750506401062,0.2779092490673065,11.0,0.5435448288917542,27.0,10.0,8
L2_B1_H6,13,16,22,0.19951062,0.16697167,0.09844627,9.87049,7.898097207206257,10.43444270772733,2.6191096,13.723499,2,1,6,PCA(n_components=24),24,1.269978551867329,-0.0419609360396862,3.670900831612037,0.623,0.026381811916545823,0.495,0.015811388300841896,0.7460000000000001,0.14776332427229702,0.6169963479042053,0.2310519963502884,22.0,0.4483867287635803,10.0,3.0,2
L2_B1_H7,14,17,22,0.23101543,0.123391636,0.09411205,9.77475,7.780126358892376,10.350478148276672,2.646006,14.097622,2,1,7,PCA(n_components=24),24,1.3125510815833772,-0.03085411712527275,3.2530436754265435,0.6859999999999999,0.03341406889320725,0.581,0.02077257807784101,0.795,0.11683321445547924,0.6907727122306824,0.3204001188278198,26.0,0.8754509091377258,40.0,22.0,7
L2_B1_H8,16,19,22,0.11106097,0.091031045,0.087527186,15.951997,9.876351287416355,12.78066628385154,2.9212155,18.563839,2,1,8,PCA(n_components=24),24,1.1868309229467264,-0.044968970119953156,3.7244015896976213,0.5734999999999999,0.0066332495807108205,0.46799999999999997,0.012186057606953925,0.6934999999999999,0.17086617570484802,0.3940475285053253,0.27561792731285095,40.0,0.5701719522476196,15.0,22.0,1
L2_B1_H9,14,17,22,0.20956804,0.12951171,0.08786506,10.735497,7.383193775657406,10.862349757717869,2.699504,14.872352,2,1,9,PCA(n_components=24),24,1.2656320373181977,-0.03671187907457352,3.4360202203611117,0.6415,0.02101190138945069,0.5165,0.018343936327844142,0.755,0.13228756555322954,0.6001351475715637,0.23390686511993408,26.0,0.5302694439888,40.0,15.0,4
L2_B2_H0,17,20,23,0.11271582,0.107947275,0.08956957,15.580398,7.9425294500381165,11.648733124604387,2.9220538,18.579407,2,2,0,PCA(n_components=24),24,1.2298978398842866,-0.02214566431939602,3.515828322131786,0.647,0.016837458240482737,0.5595000000000001,0.014949916387726052,0.748,0.15156186855538564,0.5075171589851379,0.2649679183959961,22.0,1.2340694665908813,49.0,31.0,6
L2_B2_H1,15,18,22,0.15801767,0.10710086,0.0947943,13.259627,8.675964452263894,11.125612057025464,2.8199084,16.775314,2,2,1,PCA(n_components=24),24,1.2913961369629614,0.005330933257937431,2.998030217941758,0.6980000000000001,0.025465663156493703,0.6100000000000001,0.024443813123160654,0.8055000000000001,0.11404933143162217,0.6798309087753296,0.2683306932449341,22.0,0.9680503606796265,10.0,27.0,8
L2_B2_H10,16,19,23,0.17705473,0.099152125,0.08539218,13.13077,9.493797593223203,12.086553977054518,2.8396387,17.109583,2,2,1,PCA(n_components=24),24,1.2419013469584734,-0.011079225689172745,3.357399089226704,0.6345,0.03284052374734606,0.534,0.02672077843177478,0.7445,0.14467981891058615,0.6111913919448853,0.2940678596496582,38.0,0.8579946756362915,10.0,15.0,6
L2_B2_H11,14,17,22,0.17355934,0.12057196,0.11006018,11.764611,9.016824097480804,11.351879279523233,2.7337217,15.390058,2,2,1,PCA(n_components=24),24,1.2239934251900724,-0.03803262487053871,3.6390049214012277,0.5984999999999999,0.020591260281973982,0.496,0.02900861940872057,0.727,0.14263940549511553,0.5058689117431641,0.2740478515625,15.0,0.7384904623031616,33.0,10.0,3
L2_B2_H12,16,19,23,0.17442325,0.115766756,0.091136366,12.720297,8.736454648861807,11.36844119278667,2.8162525,16.714096,2,2,1,PCA(n_components=24),24,1.269200995730501,-0.029618287459015846,3.1865704808970783,0.6615,0.02244994432064362,0.5525,0.02706473720544872,0.7669999999999999,0.11931470990619723,0.6045853495597839,0.3527441918849945,22.0,0.8804162740707397,27.0,2.0,1
L2_B2_H13,17,19,23,0.12513298,0.11524872,0.09293721,14.677536,8.475865807945853,11.938432824202529,2.8887615,17.97104,2,2,1,PCA(n_components=24),24,1.2420921157863867,-0.04242340475320816,3.5135857251498486,0.592,0.028653097563788796,0.48500000000000004,0.02307596151842866,0.7070000000000001,0.15075145107095983,0.5298592448234558,0.3428409695625305,22.0,0.9855524301528931,27.0,11.0,4
L2_B2_H14,17,20,23,0.13295457,0.10446478,0.09081742,14.89111,7.846770998365039,10.58594627105126,2.901454,18.20059,2,2,1,PCA(n_components=24),24,1.3413705815035617,0.03554093837738037,2.6663956274233818,0.767,0.01873499399519519,0.6755,0.021412613105363843,0.8554999999999999,0.11792900406600573,0.7941063642501831,0.3241632282733917,10.0,1.224443793296814,40.0,27.0,5
